variable_name,variable_description,data_type,enumerated_values,units,min,max
Study Code,Identifier for the study,string,M00M00,,,
Participant Global ID,Unique global identifier for the participant,string,pt-kjn3a3jtnk,,,
Participant External ID,External ID assigned to the participant,string,M00_001,,,
Event ID,Unique identifier for the event related to the participant,integer,1,,,
Event Type,Type of event recorded,string,Visit,,,
Condition or Measure Source Text,The raw text description of the condition or measurement,string,Down Syndrome,,,
Age at Condition or Measure Observation,Age of the participant at the time of condition observation,integer or float,5.2,,,
Condition Interpretation,Interpretation of the condition (e.g. observed suspected ruled out),string,Observed,,,
Condition Status,Status of the condition (e.g. active history of),string,History Of,,,
Condition Data Source,Source of the condition data (e.g. self-reported medical records),string,Self-Reported,,,
HPO Label,Human Phenotype Ontology (HPO) term label,string,Down syndrome,,,
HPO Code,Human Phenotype Ontology (HPO) identifier,string,HP:0019234,,,
MONDO Label,MONDO disease ontology label,string,Down syndrome,,,
MONDO Code,MONDO disease ontology identifier,string,MONDO:0008608,,,
MAXO Label,Medical Action Ontology (MAXO) term label,string,Supportive care,,,
MAXO Code,Medical Action Ontology (MAXO) identifier,string,MAXO:0001234,,,
Other Label,Label for another ontology or coding system,string,Trisomy 21,,,
Other Code,Identifier for another ontology or coding system,string,ICD-10:Q90.9,,,
Measure Value,Numeric value of a measurement (if applicable),float,98.6,,,
Measure Unit,Unit of measurement,string,Fahrenheit,,,
